source,type,bp_length,phase,gene_id,gene_type,gene_name,level,havana_gene,tag
HAVANA,gene,6991,NA,ENSG00000236649.10,protein_coding,PPT2,2,OTTHUMG00000148846.6,overlapping_locus
HAVANA,gene,3631,NA,ENSG00000236873.9,protein_coding,AGPAT1,2,OTTHUMG00000148814.1,NA
HAVANA,gene,1178,NA,ENSG00000223767.5,protein_coding,RNF5,2,OTTHUMG00000148808.1,NA
HAVANA,gene,2077,NA,ENSG00000231268.9,protein_coding,AGER,2,OTTHUMG00000148810.2,NA
HAVANA,gene,4349,NA,ENSG00000225987.7,protein_coding,PBX2,2,OTTHUMG00000148811.2,NA
HAVANA,gene,1854,NA,ENSG00000237052.7,protein_coding,GPSM3,2,OTTHUMG00000148812.2,overlapping_locus
HAVANA,gene,5658,NA,ENSG00000238196.5,protein_coding,NOTCH4,2,OTTHUMG00000148813.2,overlapping_locus
HAVANA,gene,847,NA,ENSG00000236672.6,protein_coding,C6orf10,2,OTTHUMG00000148819.3,NA
HAVANA,gene,1470,NA,ENSG00000226127.7,protein_coding,BTNL2,2,OTTHUMG00000148816.3,NA
HAVANA,gene,1839,NA,ENSG00000230463.2,protein_coding,HLA-DRB3,2,OTTHUMG00000148818.2,NA
HAVANA,gene,1648,NA,ENSG00000233192.7,protein_coding,HLA-DQA2,2,OTTHUMG00000148822.2,NA
HAVANA,gene,2029,NA,ENSG00000230675.9,protein_coding,HLA-DQB2,2,OTTHUMG00000148825.2,NA
HAVANA,gene,1858,NA,ENSG00000243612.5,protein_coding,HLA-DOB,2,OTTHUMG00000148824.3,NA
HAVANA,gene,6212,NA,ENSG00000225967.9,protein_coding,TAP2,2,OTTHUMG00000148826.3,NA
HAVANA,gene,2006,NA,ENSG00000230669.6,protein_coding,PSMB8,2,OTTHUMG00000148827.1,NA
HAVANA,gene,4576,NA,ENSG00000227816.4,protein_coding,TAP1,2,OTTHUMG00000148832.1,NA
HAVANA,gene,3321,NA,ENSG00000242711.8,protein_coding,PSMB9,2,OTTHUMG00000148833.4,overlapping_locus
HAVANA,gene,2144,NA,ENSG00000242361.7,protein_coding,HLA-DMA,2,OTTHUMG00000148835.4,overlapping_locus
HAVANA,gene,4829,NA,ENSG00000242092.8,protein_coding,HLA-DMB,2,OTTHUMG00000148834.2,overlapping_locus
HAVANA,gene,5748,NA,ENSG00000235844.8,protein_coding,HLA-DPA1,2,OTTHUMG00000148836.3,NA
HAVANA,gene,2791,NA,ENSG00000236693.11,protein_coding,HLA-DPB1,2,OTTHUMG00000148842.1,overlapping_locus
ENSEMBL,gene,219,NA,ENSG00000281185.1,protein_coding,GPX6,3,NA,NA
ENSEMBL,gene,1452,NA,ENSG00000257770.5,protein_coding,GPX5,3,NA,NA
HAVANA,gene,3000,NA,ENSG00000248496.3,protein_coding,ZBED9,2,OTTHUMG00000031422.3,NA
HAVANA,gene,7983,NA,ENSG00000237071.7,protein_coding,TRIM27,2,OTTHUMG00000031515.2,NA
HAVANA,gene,466,NA,ENSG00000237634.1,protein_coding,LINC01556,2,OTTHUMG00000031430.1,NA
HAVANA,gene,3175,NA,ENSG00000223687.4,protein_coding,ZNF311,2,OTTHUMG00000031590.2,NA
HAVANA,gene,1028,NA,ENSG00000234101.1,protein_coding,OR2W1,2,OTTHUMG00000031318.4,NA
ENSEMBL,gene,414,NA,ENSG00000274063.1,protein_coding,AL662852.1,3,NA,NA
HAVANA,gene,1007,NA,ENSG00000233180.3,protein_coding,OR2B3,2,OTTHUMG00000031526.4,NA
HAVANA,gene,936,NA,ENSG00000232178.1,protein_coding,OR2J3,2,OTTHUMG00000031362.2,NA
HAVANA,gene,1272,NA,ENSG00000231676.4,protein_coding,OR2J2,2,OTTHUMG00000031361.4,NA
HAVANA,gene,966,NA,ENSG00000225291.4,protein_coding,OR14J1,2,OTTHUMG00000031484.2,NA
HAVANA,gene,1069,NA,ENSG00000235966.4,protein_coding,OR12D2,2,OTTHUMG00000031319.3,NA
HAVANA,gene,1335,NA,ENSG00000233046.8,protein_coding,OR5V1,2,OTTHUMG00000031500.3,overlapping_locus
HAVANA,gene,1672,NA,ENSG00000224234.5,protein_coding,OR10C1,2,OTTHUMG00000031508.4,NA
HAVANA,gene,2011,NA,ENSG00000251394.6,protein_coding,OR12D3,2,OTTHUMG00000031321.2,overlapping_locus
HAVANA,gene,2864,NA,ENSG00000230780.8,protein_coding,OR11A1,2,OTTHUMG00000031525.2,overlapping_locus
HAVANA,gene,3708,NA,ENSG00000235132.8,protein_coding,OR2H1,2,OTTHUMG00000031320.3,NA
HAVANA,gene,1137,NA,ENSG00000233141.3,protein_coding,MAS1L,2,OTTHUMG00000031359.2,NA
HAVANA,gene,990,NA,ENSG00000228913.2,protein_coding,UBD,2,OTTHUMG00000031587.2,overlapping_locus
HAVANA,gene,1584,NA,ENSG00000229185.4,protein_coding,OR2H2,2,OTTHUMG00000031322.2,NA
HAVANA,gene,7011,NA,ENSG00000232632.8,protein_coding,GABBR1,2,OTTHUMG00000031365.3,overlapping_locus
HAVANA,gene,3062,NA,ENSG00000237834.9,protein_coding,MOG,2,OTTHUMG00000031380.5,NA
HAVANA,gene,2149,NA,ENSG00000226858.7,protein_coding,ZFP57,2,OTTHUMG00000031440.4,NA
HAVANA,gene,4340,NA,ENSG00000137403.19,protein_coding,HLA-F,2,OTTHUMG00000031438.4,NA
HAVANA,gene,1833,NA,ENSG00000230413.9,protein_coding,HLA-G,2,OTTHUMG00000031439.6,NA
HAVANA,gene,7498,NA,ENSG00000224320.9,protein_coding,HLA-A,2,OTTHUMG00000031434.2,NA
HAVANA,gene,3672,NA,ENSG00000224859.6,protein_coding,ZNRD1,2,OTTHUMG00000031431.3,ncRNA_host
HAVANA,gene,2538,NA,ENSG00000234058.6,protein_coding,PPP1R11,2,OTTHUMG00000031558.4,NA
HAVANA,gene,2206,NA,ENSG00000227171.8,protein_coding,RNF39,2,OTTHUMG00000031586.2,NA
HAVANA,gene,3537,NA,ENSG00000226402.8,protein_coding,TRIM31,2,OTTHUMG00000031334.3,NA
HAVANA,gene,2497,NA,ENSG00000228001.8,protein_coding,TRIM40,2,OTTHUMG00000031353.2,NA
HAVANA,gene,3546,NA,ENSG00000237192.8,protein_coding,TRIM10,2,OTTHUMG00000031593.2,NA
HAVANA,gene,2515,NA,ENSG00000227147.9,protein_coding,TRIM15,2,OTTHUMG00000031301.3,NA
HAVANA,gene,4378,NA,ENSG00000230230.7,protein_coding,TRIM26,2,OTTHUMG00000031311.5,overlapping_locus
HAVANA,gene,4226,NA,ENSG00000224994.10,protein_coding,TRIM39,2,OTTHUMG00000031336.4,NA
HAVANA,gene,2717,NA,ENSG00000241863.6,protein_coding,RPP21,2,OTTHUMG00000031520.3,NA
HAVANA,gene,2975,NA,ENSG00000233904.6,protein_coding,HLA-E,2,OTTHUMG00000031437.3,NA
HAVANA,gene,8646,NA,ENSG00000235986.9,protein_coding,GNL1,2,OTTHUMG00000031417.4,NA
HAVANA,gene,4281,NA,ENSG00000228186.10,protein_coding,PRR3,2,OTTHUMG00000031307.3,NA
HAVANA,gene,4340,NA,ENSG00000236149.9,protein_coding,ABCF1,2,OTTHUMG00000031364.3,NA
HAVANA,gene,5215,NA,ENSG00000230995.7,protein_coding,PPP1R10,2,OTTHUMG00000031557.3,NA
HAVANA,gene,1888,NA,ENSG00000227420.8,protein_coding,MRPS18B,2,OTTHUMG00000031566.3,NA
HAVANA,gene,4035,NA,ENSG00000223752.8,protein_coding,ATAT1,2,OTTHUMG00000031519.3,overlapping_locus
HAVANA,gene,1863,NA,ENSG00000233641.9,protein_coding,C6orf136,2,OTTHUMG00000031521.4,NA
HAVANA,gene,4008,NA,ENSG00000233561.6,protein_coding,DHX16,2,OTTHUMG00000031330.4,NA
HAVANA,gene,4599,NA,ENSG00000231247.8,protein_coding,PPP1R18,2,OTTHUMG00000031537.3,NA
HAVANA,gene,2045,NA,ENSG00000235773.8,protein_coding,NRM,2,OTTHUMG00000031523.3,NA
HAVANA,gene,8064,NA,ENSG00000224587.9,protein_coding,MDC1,2,OTTHUMG00000031345.5,NA
HAVANA,gene,3359,NA,ENSG00000227739.10,protein_coding,TUBB,2,OTTHUMG00000031329.3,NA
HAVANA,gene,3186,NA,ENSG00000232280.9,protein_coding,FLOT1,2,OTTHUMG00000031433.5,ncRNA_host
HAVANA,gene,1356,NA,ENSG00000237155.3,protein_coding,IER3,2,OTTHUMG00000031563.2,NA
HAVANA,gene,5689,NA,ENSG00000137332.19,protein_coding,DDR1,2,OTTHUMG00000031536.6,NA
HAVANA,gene,2353,NA,ENSG00000236895.10,protein_coding,GTF2H4,2,OTTHUMG00000031313.4,overlapping_locus
HAVANA,gene,8422,NA,ENSG00000236178.9,protein_coding,VARS2,2,OTTHUMG00000031561.4,overlapping_locus
HAVANA,gene,691,NA,ENSG00000224246.2,protein_coding,SFTA2,2,OTTHUMG00000031483.3,NA
HAVANA,gene,3573,NA,ENSG00000232308.4,protein_coding,DPCR1,2,OTTHUMG00000031385.2,NA
HAVANA,gene,3793,NA,ENSG00000234137.5,protein_coding,MUC21,2,OTTHUMG00000031516.3,NA
HAVANA,gene,1140,NA,ENSG00000229432.2,protein_coding,C6orf15,2,OTTHUMG00000031391.2,NA
HAVANA,gene,2549,NA,ENSG00000137197.6,protein_coding,CDSN,2,OTTHUMG00000031432.2,NA
HAVANA,gene,1152,NA,ENSG00000224544.2,protein_coding,PSORS1C2,2,OTTHUMG00000031351.2,NA
HAVANA,gene,4627,NA,ENSG00000235487.8,protein_coding,PSORS1C1,2,OTTHUMG00000031347.4,NA
HAVANA,gene,4556,NA,ENSG00000234114.8,protein_coding,CCHCR1,2,OTTHUMG00000149972.4,NA
HAVANA,gene,3291,NA,ENSG00000224379.6,protein_coding,TCF19,2,OTTHUMG00000031572.3,NA
HAVANA,gene,1880,NA,ENSG00000233911.9,protein_coding,POU5F1,2,OTTHUMG00000031507.4,NA
HAVANA,gene,2576,NA,ENSG00000233841.11,protein_coding,HLA-C,2,OTTHUMG00000031436.7,NA
HAVANA,gene,2743,NA,ENSG00000223532.10,protein_coding,HLA-B,2,OTTHUMG00000031435.5,NA
HAVANA,gene,3853,NA,ENSG00000233051.9,protein_coding,MICA,2,OTTHUMG00000031343.4,NA
HAVANA,gene,2681,NA,ENSG00000234218.9,protein_coding,MICB,2,OTTHUMG00000031344.3,NA
HAVANA,gene,955,NA,ENSG00000226923.2,protein_coding,MCCD1,2,OTTHUMG00000134330.1,NA
HAVANA,gene,6891,NA,ENSG00000225073.10,protein_coding,DDX39B,2,OTTHUMG00000031447.6,overlapping_locus
HAVANA,gene,1652,NA,ENSG00000227587.2,protein_coding,ATP6V1G2,2,OTTHUMG00000031501.3,overlapping_locus
HAVANA,gene,1779,NA,ENSG00000234530.8,protein_coding,NFKBIL1,2,OTTHUMG00000031308.5,NA
HAVANA,gene,1737,NA,ENSG00000238130.8,protein_coding,LTA,2,OTTHUMG00000031415.3,NA
HAVANA,gene,1676,NA,ENSG00000204490.3,protein_coding,TNF,2,OTTHUMG00000031493.2,NA
HAVANA,gene,926,NA,ENSG00000204487.8,protein_coding,LTB,2,OTTHUMG00000031416.3,NA
HAVANA,gene,2290,NA,ENSG00000226182.8,protein_coding,LST1,2,OTTHUMG00000031562.4,NA
HAVANA,gene,1211,NA,ENSG00000237808.6,protein_coding,NCR3,2,OTTHUMG00000031403.4,NA
HAVANA,gene,1320,NA,ENSG00000237727.7,protein_coding,AIF1,2,OTTHUMG00000031546.3,NA
HAVANA,gene,9115,NA,ENSG00000225164.9,protein_coding,PRRC2A,2,OTTHUMG00000031450.3,ncRNA_host
HAVANA,gene,5336,NA,ENSG00000229524.10,protein_coding,BAG6,2,OTTHUMG00000031455.5,NA
HAVANA,gene,1237,NA,ENSG00000224290.7,protein_coding,APOM,2,OTTHUMG00000031550.3,NA
HAVANA,gene,2473,NA,ENSG00000235360.2,protein_coding,C6orf47,2,OTTHUMG00000031463.2,NA
HAVANA,gene,3528,NA,ENSG00000236011.6,protein_coding,GPANK1,2,OTTHUMG00000031465.6,NA
HAVANA,gene,2644,NA,ENSG00000241713.7,protein_coding,LY6G5B,2,OTTHUMG00000031527.3,overlapping_locus
HAVANA,gene,4549,NA,ENSG00000228875.8,protein_coding,CSNK2B,2,OTTHUMG00000031326.4,overlapping_locus
HAVANA,gene,2828,NA,ENSG00000231325.9,protein_coding,LY6G5C,2,OTTHUMG00000031528.4,NA
HAVANA,gene,3850,NA,ENSG00000235676.9,protein_coding,ABHD16A,2,OTTHUMG00000031468.4,NA
HAVANA,gene,920,NA,ENSG00000240008.1,protein_coding,LY6G6F,2,OTTHUMG00000137420.1,overlapping_locus
HAVANA,gene,506,NA,ENSG00000224708.8,protein_coding,LY6G6E,2,OTTHUMG00000031553.2,NA
HAVANA,gene,1533,NA,ENSG00000226603.8,protein_coding,LY6G6D,2,OTTHUMG00000031552.3,overlapping_locus
HAVANA,gene,1103,NA,ENSG00000236183.2,protein_coding,LY6G6C,2,OTTHUMG00000031551.3,NA
HAVANA,gene,2860,NA,ENSG00000230060.6,protein_coding,MPIG6B,2,OTTHUMG00000031410.3,NA
HAVANA,gene,2538,NA,ENSG00000226634.6,protein_coding,DDAH2,2,OTTHUMG00000031512.4,overlapping_locus
HAVANA,gene,1942,NA,ENSG00000230685.6,protein_coding,CLIC1,2,OTTHUMG00000031384.3,overlapping_locus
HAVANA,gene,5344,NA,ENSG00000235222.12,protein_coding,MSH5,2,OTTHUMG00000166643.2,overlapping_locus
HAVANA,gene,4141,NA,ENSG00000254405.10,protein_coding,MSH5-SAPCD1,2,OTTHUMG00000031419.5,overlapping_locus
HAVANA,gene,1558,NA,ENSG00000229176.11,protein_coding,SAPCD1,2,OTTHUMG00000031411.2,overlapping_locus
HAVANA,gene,3638,NA,ENSG00000227144.8,protein_coding,VWA7,2,OTTHUMG00000031412.3,NA
HAVANA,gene,6081,NA,ENSG00000226589.9,protein_coding,VARS,2,OTTHUMG00000031584.5,ncRNA_host
HAVANA,gene,1119,NA,ENSG00000236826.7,protein_coding,LSM2,2,OTTHUMG00000031401.3,NA
HAVANA,gene,2544,NA,ENSG00000236251.6,protein_coding,HSPA1L,2,OTTHUMG00000031509.2,NA
HAVANA,gene,2483,NA,ENSG00000237724.5,protein_coding,HSPA1A,2,OTTHUMG00000031502.2,NA
HAVANA,gene,2524,NA,ENSG00000224501.5,protein_coding,HSPA1B,2,OTTHUMG00000031503.2,NA
HAVANA,gene,1803,NA,ENSG00000226710.9,protein_coding,C6orf48,2,OTTHUMG00000031466.3,ncRNA_host
HAVANA,gene,4823,NA,ENSG00000227315.7,protein_coding,NEU1,2,OTTHUMG00000031582.3,NA
HAVANA,gene,3369,NA,ENSG00000231479.8,protein_coding,SLC44A4,2,OTTHUMG00000031413.4,NA
HAVANA,gene,7268,NA,ENSG00000236759.7,protein_coding,EHMT2,2,OTTHUMG00000031471.5,NA
HAVANA,gene,1875,NA,ENSG00000237900.2,protein_coding,ZBTB12,2,OTTHUMG00000031452.2,NA
HAVANA,gene,5542,NA,ENSG00000235017.9,protein_coding,C2,2,OTTHUMG00000031489.4,overlapping_locus
HAVANA,gene,4538,NA,ENSG00000239754.9,protein_coding,CFB,2,OTTHUMG00000031499.4,overlapping_locus
HAVANA,gene,2701,NA,ENSG00000231044.10,protein_coding,NELFE,2,OTTHUMG00000031316.4,NA
HAVANA,gene,5561,NA,ENSG00000225737.9,protein_coding,SKIV2L,2,OTTHUMG00000031427.3,NA
HAVANA,gene,2483,NA,ENSG00000225682.6,protein_coding,DXO,2,OTTHUMG00000031570.3,NA
HAVANA,gene,3546,NA,ENSG00000234947.8,protein_coding,STK19,2,OTTHUMG00000031531.4,NA
HAVANA,gene,6919,NA,ENSG00000228267.8,protein_coding,C4B,2,OTTHUMG00000031486.3,NA
HAVANA,gene,2637,NA,ENSG00000233151.6,protein_coding,CYP21A2,2,OTTHUMG00000031339.3,NA
HAVANA,gene,15205,NA,ENSG00000233323.10,protein_coding,TNXB,2,OTTHUMG00000031358.5,overlapping_locus
HAVANA,gene,3629,NA,ENSG00000234539.9,protein_coding,ATF6B,2,OTTHUMG00000031594.4,overlapping_locus
HAVANA,gene,1345,NA,ENSG00000230907.2,protein_coding,FKBPL,2,OTTHUMG00000031409.2,NA
HAVANA,gene,4262,NA,ENSG00000229071.9,protein_coding,PRRT1,2,OTTHUMG00000031425.4,NA
HAVANA,gene,2927,NA,ENSG00000206256.14,protein_coding,PPT2,2,OTTHUMG00000166644.2,overlapping_locus
HAVANA,gene,2621,NA,ENSG00000242038.5,protein_coding,EGFL8,2,OTTHUMG00000031522.4,overlapping_locus
HAVANA,gene,5389,NA,ENSG00000254778.7,protein_coding,XXbac-BCX105D18.9,2,OTTHUMG00000031555.7,overlapping_locus
HAVANA,gene,3631,NA,ENSG00000226467.9,protein_coding,AGPAT1,2,OTTHUMG00000031510.3,NA
HAVANA,gene,1172,NA,ENSG00000228405.5,protein_coding,RNF5,2,OTTHUMG00000031363.2,NA
HAVANA,gene,2077,NA,ENSG00000234729.9,protein_coding,AGER,2,OTTHUMG00000031400.4,NA
HAVANA,gene,4349,NA,ENSG00000237344.7,protein_coding,PBX2,2,OTTHUMG00000031396.3,NA
HAVANA,gene,1854,NA,ENSG00000233490.7,protein_coding,GPSM3,2,OTTHUMG00000031544.4,overlapping_locus
HAVANA,gene,9754,NA,ENSG00000235396.5,protein_coding,NOTCH4,2,OTTHUMG00000031314.3,overlapping_locus
HAVANA,gene,2242,NA,ENSG00000234280.6,protein_coding,C6orf10,2,OTTHUMG00000031387.2,NA
HAVANA,gene,1470,NA,ENSG00000224770.7,protein_coding,BTNL2,2,OTTHUMG00000031383.4,NA
HAVANA,gene,1280,NA,ENSG00000227993.9,protein_coding,HLA-DRA,2,OTTHUMG00000031567.3,NA
HAVANA,gene,1207,NA,ENSG00000231679.7,protein_coding,HLA-DRB3,2,OTTHUMG00000031497.2,NA
HAVANA,gene,1431,NA,ENSG00000206240.11,protein_coding,HLA-DRB1,2,OTTHUMG00000031495.3,NA
HAVANA,gene,1649,NA,ENSG00000206237.6,protein_coding,HLA-DQB1,2,OTTHUMG00000031404.2,overlapping_locus
HAVANA,gene,3147,NA,ENSG00000257473.7,protein_coding,HLA-DQA2,2,OTTHUMG00000031388.2,NA
HAVANA,gene,2029,NA,ENSG00000224305.9,protein_coding,HLA-DQB2,2,OTTHUMG00000031405.2,NA
HAVANA,gene,1858,NA,ENSG00000241386.6,protein_coding,HLA-DOB,2,OTTHUMG00000031513.5,NA
HAVANA,gene,6390,NA,ENSG00000228582.9,protein_coding,TAP2,2,OTTHUMG00000031338.4,NA
HAVANA,gene,2007,NA,ENSG00000235715.6,protein_coding,PSMB8,2,OTTHUMG00000031583.3,NA
